3,addWall,97,32
3,addWall,98,32
3,addWall,99,32
3,addWall,100,32
3,addWall,101,32
3,addWall,102,32
3,addWall,103,32
3,addWall,104,32
3,addWall,105,32
3,addWall,106,32

6,addWall,87,32
6,addWall,88,32
6,addWall,89,32
6,addWall,90,32
6,addWall,91,32
6,addWall,92,32
6,addWall,93,32
6,addWall,94,32
6,addWall,95,32
6,addWall,96,32

9,addWall,86,32
9,addWall,86,33
9,addWall,86,34
9,addWall,86,35
9,addWall,86,36
9,addWall,86,37
9,addWall,86,38
9,addWall,86,39
9,addWall,86,40
9,addWall,86,41

12,addWall,107,32
12,addWall,108,32
12,addWall,109,32
12,addWall,110,32
12,addWall,111,32
12,addWall,112,32
12,addWall,113,32
12,addWall,114,32
12,addWall,115,32
12,addWall,116,32

15,addWall,117,32
15,addWall,118,32
15,addWall,119,32
15,addWall,120,32
15,addWall,121,32
15,addWall,122,32
15,addWall,123,32
15,addWall,124,32
15,addWall,125,32
15,addWall,126,32

15,addWall,127,32
15,addWall,128,32
15,addWall,129,32
15,addWall,130,32
15,addWall,131,32
15,addWall,132,32
15,addWall,133,32
15,addWall,134,32
15,addWall,135,32
15,addWall,136,32